frame,pa_x,pa_y,pa_z,po_a,po_x,po_y,po_z,pav_x,pav_y,pav_z,rsa_x,rsa_y,rsa_z,rso_a,rso_x,rso_y,rso_z,rsav_x,rsav_y,rsav_z,lsa_x,lsa_y,lsa_z,lso_a,lso_x,lso_y,lso_z,lsav_x,lsav_y,lsav_z,lula_x,lula_y,lula_z,lulo_a,lulo_x,lulo_y,lulo_z,lulav_x,lulav_y,lulav_z,llla_x,llla_y,llla_z,lllo_a,lllo_x,lllo_y,lllo_z,lllav_x,lllav_y,lllav_z,lfa_x,lfa_y,lfa_z,lfo_a,lfo_x,lfo_y,lfo_z,lfav_x,lfav_y,lfav_z,label,subject_id
11,-1.21005,0.524979,-0.443876,0.782575,-0.119697,-0.129021,0.597162,-0.144741,-1.414336,-0.194139,-1.352369,0.531822,2.289659,0.286072,-0.208981,0.359389,-0.863325,-0.910334,-0.94286,-0.092477,-0.990859,0.063578,1.924271,0.756505,-0.385007,0.225778,-0.478011,-0.459934,-1.18554,0.245709,-1.042275,0.92971,-1.045576,0.167638,-0.10503,0.614295,0.763877,-0.060356,-0.299815,0.342283,-1.042275,0.92971,-1.045576,0.167638,-0.10503,0.614295,0.763877,-0.128242,-0.183602,-0.232545,0.077944,-0.260013,-0.057751,0.308715,-0.174911,-0.221442,-0.908331,-0.459934,-1.18554,0.245709,0,1
12,-1.161192,0.244738,-0.545963,0.781752,-0.128469,-0.137709,0.594471,-0.168502,-1.492139,-0.210086,-1.516964,0.317288,2.432995,0.287206,-0.205388,0.350508,-0.867452,-0.944619,-0.833957,0.037428,-0.839542,-0.202867,1.564655,0.758027,-0.383404,0.215296,-0.481709,-0.490065,-1.259587,0.184739,-0.628019,0.713289,-0.803299,0.167249,-0.110072,0.615233,0.762496,-0.296552,-0.435874,0.374032,-0.628019,0.713289,-0.803299,0.167249,-0.110072,0.615233,0.762496,-0.151527,-0.188119,-0.217158,0.003081,-0.182877,-0.030742,0.308605,-0.174853,-0.220475,-0.908614,-0.490065,-1.259587,0.184739,0,1
13,-1.467737,0.250215,-0.76275,0.782036,-0.136899,-0.14717,0.589932,-0.146393,-1.51359,-0.24725,-1.869223,0.411587,2.507268,0.288166,-0.202252,0.340947,-0.871671,-0.988895,-0.802799,0.025526,-1.197851,0.188329,2.43801,0.759201,-0.382182,0.20549,-0.485103,-0.549622,-1.096362,0.107202,-0.663375,0.36786,-0.168817,0.168336,-0.115614,0.620155,0.757433,-0.411453,-0.561934,0.600809,-0.663375,0.36786,-0.168817,0.168336,-0.115614,0.620155,0.757433,-0.132301,-0.206432,-0.148689,-0.303123,0.021503,-0.232758,0.308158,-0.173747,-0.220009,-0.909091,-0.549622,-1.096362,0.107202,0,1
14,-1.233009,0.123775,-0.52436,0.781353,-0.146071,-0.155894,0.586385,-0.188543,-1.534595,-0.308557,-2.021223,0.309883,2.585121,0.288543,-0.197724,0.331293,-0.876295,-1.03132,-0.939703,-0.077518,-1.490112,0.15588,3.464436,0.760453,-0.380407,0.19471,-0.488969,-0.507845,-1.297652,0.163517,-0.584869,-0.289395,-0.029375,0.165198,-0.125177,0.621971,0.755111,-0.576798,-0.63502,0.931118,-0.584869,-0.289395,-0.029375,0.165198,-0.125177,0.621971,0.755111,-0.065857,-0.223554,-0.061982,-0.044471,-0.101824,-0.189141,0.307846,-0.173184,-0.219324,-0.90947,-0.507845,-1.297652,0.163517,0,1
15,-1.045009,-0.093607,-0.195115,0.780643,-0.155566,-0.164463,0.582536,-0.224486,-1.548675,-0.343647,-2.370773,0.420442,2.500236,0.288419,-0.192122,0.321077,-0.88137,-1.083006,-1.063093,-0.174937,-1.217029,0.374095,3.577439,0.762822,-0.376167,0.181682,-0.493551,-0.380298,-1.70639,0.208614,-0.225605,0.073926,0.427242,0.161377,-0.13529,0.62333,0.753069,-0.535584,-0.638742,1.046635,-0.225605,0.073926,0.427242,0.161377,-0.13529,0.62333,0.753069,-0.080743,-0.291489,-0.049749,0.095949,-0.353043,0.071581,0.307765,-0.172562,-0.218608,-0.909788,-0.380298,-1.70639,0.208614,0,1
16,-0.704426,-0.13514,0.103436,0.779819,-0.1653,-0.17266,0.578572,-0.272467,-1.534985,-0.357978,-2.313076,0.571915,2.431775,0.288025,-0.185924,0.310393,-0.88664,-1.125523,-1.136461,-0.222249,-1.122157,0.40865,3.318962,0.764717,-0.371376,0.169561,-0.498534,-0.306139,-1.663755,0.090776,0.426933,-0.454582,0.399529,0.158302,-0.144138,0.624216,0.751345,-0.432474,-0.58426,0.89836,0.426933,-0.454582,0.399529,0.158302,-0.144138,0.624216,0.751345,-0.105458,-0.371528,0.022149,0.222892,-0.230143,0.118516,0.307992,-0.172075,-0.217445,-0.910082,-0.306139,-1.663755,0.090776,0,1
17,-0.436015,0.002168,0.591341,0.778968,-0.175206,-0.180322,0.574452,-0.323039,-1.500542,-0.384879,-2.135942,0.163508,2.399059,0.287333,-0.179663,0.299954,-0.891733,-1.09718,-1.11991,-0.255682,-1.538458,0.090727,3.300161,0.766092,-0.366108,0.15892,-0.503797,-0.202422,-1.558406,-0.041734,1.315044,-0.363334,0.81358,0.156649,-0.151789,0.625335,0.749251,-0.433971,-0.584777,0.669419,1.315044,-0.363334,0.81358,0.156649,-0.151789,0.625335,0.749251,-0.026916,-0.398302,-0.005351,-0.338484,0.036515,-0.091031,0.307984,-0.171491,-0.216377,-0.910449,-0.202422,-1.558406,-0.041734,0,1
18,0.14102,0.479369,1.009836,0.778148,-0.185733,-0.187548,0.569926,-0.401493,-1.510479,-0.447468,-2.274282,-0.061369,2.450726,0.286466,-0.173171,0.289722,-0.896666,-1.065077,-1.127737,-0.281378,-1.679445,-0.324746,3.472947,0.767691,-0.359184,0.148502,-0.509495,-0.034961,-1.661363,-0.109633,1.876951,-0.756282,0.929897,0.15675,-0.156015,0.627031,0.746941,-0.405702,-0.401491,0.240241,1.876951,-0.756282,0.929897,0.15675,-0.156015,0.627031,0.746941,0.078613,-0.39253,-0.093585,0.129253,-0.733957,-0.014304,0.307823,-0.170643,-0.214967,-0.910997,-0.034961,-1.661363,-0.109633,0,1
19,0.669613,0.939952,1.43111,0.77713,-0.195616,-0.19366,0.56595,-0.495476,-1.480796,-0.527448,-2.624816,0.010659,2.33046,0.28656,-0.166126,0.279269,-0.901274,-1.017164,-1.218779,-0.334552,-2.038348,-0.328983,3.364821,0.769984,-0.349741,0.137011,-0.515784,0.117625,-1.857322,-0.147718,1.849489,-1.274719,0.422558,0.160606,-0.154426,0.633137,0.74128,-0.48296,-0.226716,-0.054261,1.849489,-1.274719,0.422558,0.160606,-0.154426,0.633137,0.74128,0.153722,-0.439761,-0.257821,-0.079801,-0.479772,0.090474,0.308028,-0.168656,-0.21207,-0.911976,0.117625,-1.857322,-0.147718,0,1
20,1.166417,1.060325,1.676473,0.776543,-0.20674,-0.199691,0.56068,-0.515148,-1.451837,-0.573749,-2.385797,0.021534,1.900054,0.285348,-0.157377,0.26887,-0.906377,-1.016435,-1.370181,-0.397808,-1.627893,-0.179212,2.657207,0.771813,-0.339743,0.125703,-0.522569,0.186288,-1.982646,-0.2119,1.607923,-2.097262,0.569512,0.161846,-0.155531,0.638256,0.736373,-0.828433,-0.18847,-0.209077,1.607923,-2.097262,0.569512,0.161846,-0.155531,0.638256,0.736373,0.19632,-0.547175,-0.456913,-0.146496,0.144365,-0.134951,0.307906,-0.167459,-0.20944,-0.912845,0.186288,-1.982646,-0.2119,0,1
