frame,pa_x,pa_y,pa_z,po_a,po_x,po_y,po_z,pav_x,pav_y,pav_z,rsa_x,rsa_y,rsa_z,rso_a,rso_x,rso_y,rso_z,rsav_x,rsav_y,rsav_z,lsa_x,lsa_y,lsa_z,lso_a,lso_x,lso_y,lso_z,lsav_x,lsav_y,lsav_z,lula_x,lula_y,lula_z,lulo_a,lulo_x,lulo_y,lulo_z,lulav_x,lulav_y,lulav_z,llla_x,llla_y,llla_z,lllo_a,lllo_x,lllo_y,lllo_z,lllav_x,lllav_y,lllav_z,lfa_x,lfa_y,lfa_z,lfo_a,lfo_x,lfo_y,lfo_z,lfav_x,lfav_y,lfav_z,label,subject_id
11171,-0.487723,-0.973096,-0.100095,0.591973,-0.465774,-0.52408,0.397446,0.005735,0.004581,-0.011814,0.540495,-0.182525,0.024335,0.391495,0.483953,-0.07275,-0.779249,0.008353,-0.000759,-0.001861,1.196369,-1.086229,-0.09139,0.677983,0.184498,-0.429527,-0.567279,0.010604,0.000116,-0.001542,0.424271,-2.30116,-0.191197,0.146148,0.276355,0.686439,0.656559,-0.006009,-0.002827,-0.002404,0.424271,-2.30116,-0.191197,0.146148,0.276355,0.686439,0.656559,-0.00966,-0.008558,0.011504,-0.69698,-0.531725,-0.016108,0.011121,-0.201787,-0.185012,-0.961732,0.010604,0.000116,-0.001542,0,4
11172,-0.474588,-0.998512,-0.132353,0.592045,-0.465825,-0.524002,0.397381,0.007069,0.007155,-0.015018,0.528129,-0.173379,0.010768,0.391466,0.483978,-0.072677,-0.779255,0.014546,-0.004349,0.0042,1.184438,-1.056834,-0.072364,0.677995,0.1845,-0.429497,-0.567288,0.011424,0.00044,-0.001864,0.426991,-2.259949,-0.212079,0.146204,0.276355,0.686434,0.656552,-0.001658,-0.006738,0.002654,0.426991,-2.259949,-0.212079,0.146204,0.276355,0.686434,0.656552,-0.010632,-0.008735,0.028013,-0.71397,-0.54378,-0.013848,0.011473,-0.201765,-0.184982,-0.961738,0.011424,0.00044,-0.001864,0,4
11173,-0.49448,-1.027965,-0.075696,0.592102,-0.465853,-0.523946,0.397337,0.007638,0.006843,-0.010188,0.561488,-0.127496,0.038572,0.391401,0.483978,-0.072617,-0.779293,0.014548,-0.001082,-0.001623,1.194929,-1.008084,-0.033094,0.678005,0.184517,-0.429476,-0.567285,0.011395,-0.0016,-0.00055,0.440965,-2.258133,-0.186295,0.146268,0.27639,0.686424,0.656533,-0.001837,-0.00446,-0.001157,0.440965,-2.258133,-0.186295,0.146268,0.27639,0.686424,0.656533,-0.022681,0.00267,0.035594,-0.663343,-0.557845,0.020116,0.01202,-0.201733,-0.184907,-0.961753,0.011395,-0.0016,-0.00055,0,4
11174,-0.503294,-1.014845,-0.075745,0.592129,-0.465859,-0.523909,0.397338,0.005762,0.007209,-0.00304,0.52626,-0.136702,0.00432,0.391364,0.48392,-0.072522,-0.779356,0.013631,0.007788,0.001343,1.197741,-1.007233,-0.098462,0.678031,0.184477,-0.429375,-0.567344,0.015213,0.010898,-0.005583,0.443444,-2.277158,-0.202875,0.146302,0.276383,0.686403,0.656551,0.002221,-0.006604,0.004935,0.443444,-2.277158,-0.202875,0.146302,0.276383,0.686403,0.656551,-0.016725,-0.009811,0.029431,-0.683567,-0.556465,-0.030703,0.01264,-0.201708,-0.184846,-0.961762,0.015213,0.010898,-0.005583,0,4
11175,-0.121367,-0.846558,-0.083871,0.563811,-0.428738,-0.545397,0.448155,0.000549,-0.003637,-0.001822,0.061508,-1.107701,0.017982,0.377109,0.522217,-0.040155,-0.763849,0.010175,-0.001328,-0.009738,0.468037,-0.555535,-0.005274,0.680112,0.201826,-0.464245,-0.530274,0.010923,-0.000716,-0.009291,0.422055,-1.34925,-0.020243,0.121033,0.208542,0.730835,0.638547,0.000671,-0.010006,0.014202,0.422055,-1.34925,-0.020243,0.121033,0.208542,0.730835,0.638547,-0.020615,0.006418,0.024276,0.024312,-0.153613,0.024568,0.059383,-0.225219,-0.212913,-0.948904,0.010923,-0.000716,-0.009291,0,4
11176,-0.15335,-0.816408,-0.063866,0.563793,-0.428811,-0.545374,0.448137,-1.80E-05,-0.00038,-0.005794,0.04819,-1.09509,-0.041502,0.377119,0.52211,-0.03997,-0.763927,0.016605,0.017503,0.010873,0.469642,-0.53708,0.007278,0.680125,0.201763,-0.464177,-0.530341,0.011987,0.009682,-0.008421,0.458055,-1.34631,-0.054243,0.121055,0.208476,0.730841,0.638557,-0.000636,-0.008642,0.012091,0.458055,-1.34631,-0.054243,0.121055,0.208476,0.730841,0.638557,-0.012621,-0.003784,0.030526,-0.024968,-0.093724,-0.042131,0.060049,-0.225131,-0.212901,-0.948885,0.011987,0.009682,-0.008421,0,4
11177,-0.131331,-0.834652,-0.083906,0.563813,-0.428884,-0.545351,0.448068,0.005235,-0.000694,-0.011366,0.032588,-1.051141,-0.011906,0.377038,0.522113,-0.039907,-0.763969,0.015997,-0.000773,-0.002725,0.441824,-0.533541,-0.00934,0.680136,0.20172,-0.464125,-0.530388,0.011535,0.006542,-0.006171,0.39684,-1.366397,-0.036501,0.12107,0.208404,0.730841,0.638577,0.00091,-0.008882,0.012944,0.39684,-1.366397,-0.036501,0.12107,0.208404,0.730841,0.638577,-0.005177,-0.007676,0.038238,0.050297,-0.12948,-0.068433,0.060526,-0.22508,-0.212899,-0.948867,0.011535,0.006542,-0.006171,0,4
11178,-0.14093,-0.841793,-0.075514,0.563825,-0.428981,-0.54534,0.447975,0.005476,-0.004471,-0.01357,0.072331,-1.071661,-0.0317,0.376985,0.522045,-0.039853,-0.764044,0.010296,0.007527,-0.002847,0.468889,-0.550488,-0.00516,0.680137,0.201679,-0.464087,-0.530437,0.011032,0.004608,-0.007196,0.382722,-1.377666,-0.026909,0.120982,0.208284,0.730827,0.638649,0.008226,-0.005056,0.025511,0.382722,-1.377666,-0.026909,0.120982,0.208284,0.730827,0.638649,-0.003408,-0.013441,0.043939,0.006032,-0.188167,-0.05326,0.060832,-0.225085,-0.212916,-0.948843,0.011032,0.004608,-0.007196,0,4
11179,-0.116707,-0.837828,-0.071583,0.563828,-0.429062,-0.545327,0.447909,0.004196,-0.002719,-0.010221,0.04101,-1.075237,-0.035918,0.376924,0.521979,-0.039841,-0.76412,0.007061,0.005464,-0.006065,0.457702,-0.522828,-0.021168,0.680159,0.201635,-0.46402,-0.530483,0.012036,0.008476,-0.005154,0.405258,-1.349236,-0.027651,0.12086,0.208139,0.730808,0.638742,0.011084,-0.004607,0.030617,0.405258,-1.349236,-0.027651,0.12086,0.208139,0.730808,0.638742,0.003259,-0.014048,0.032438,0.011068,-0.179555,-0.003642,0.061037,-0.225092,-0.21293,-0.948825,0.012036,0.008476,-0.005154,0,4
11180,-0.142267,-0.839888,-0.075376,0.56388,-0.429099,-0.545268,0.447879,0.004925,0.007937,-0.00994,0.04916,-1.053161,-0.012058,0.376878,0.521945,-0.039793,-0.764168,0.010757,0.002518,-0.000984,0.47411,-0.533488,0.027643,0.680138,0.201601,-0.464024,-0.530519,0.008776,-0.000779,-0.008127,0.474405,-1.402194,-0.03187,0.120763,0.208008,0.730821,0.638788,0.004133,-0.004044,0.027523,0.474405,-1.402194,-0.03187,0.120763,0.208008,0.730821,0.638788,0.00168,-0.008415,0.016368,-0.001087,-0.183645,-0.010512,0.061216,-0.225071,-0.212934,-0.948818,0.008776,-0.000779,-0.008127,0,4
11181,-0.117857,-0.909252,-0.102571,0.565506,-0.427917,-0.545353,0.446856,0.004424,0.006046,-0.011902,0.114043,-0.928679,-0.013635,0.369124,0.517138,-0.052367,-0.770437,0.00545,0.008368,-0.008111,0.48081,-0.479432,-0.002349,0.678278,0.197026,-0.466317,-0.532605,0.009265,0.002745,-0.009452,0.459131,-1.337549,-0.027231,0.122993,0.207343,0.732663,0.636464,-0.002832,-0.00247,0.014584,0.459131,-1.337549,-0.027231,0.122993,0.207343,0.732663,0.636464,0.004964,-0.011348,0.018094,0.103671,-0.200051,0.00217,0.06148,-0.229044,-0.211437,-0.948184,0.009265,0.002745,-0.009452,0,4
11182,-0.114475,-0.924272,-0.0617,0.565566,-0.427956,-0.545305,0.446801,0.007435,0.006225,-0.011563,0.094364,-0.935991,-0.018004,0.36906,0.517037,-0.052309,-0.77054,0.010193,0.012165,-0.004929,0.483502,-0.480355,0.018058,0.678273,0.196947,-0.466285,-0.532669,0.008586,0.006576,-0.01112,0.473175,-1.317907,-0.005416,0.123064,0.20738,0.732668,0.636433,-0.003903,-0.004115,-0.001417,0.473175,-1.317907,-0.005416,0.123064,0.20738,0.732668,0.636433,-0.000816,-0.000543,0.016198,0.07769,-0.151819,-0.004186,0.061723,-0.229011,-0.211413,-0.948182,0.008586,0.006576,-0.01112,0,4
11183,-0.119923,-0.88793,-0.058048,0.565597,-0.428006,-0.545282,0.446742,0.006818,0.001875,-0.009828,0.10782,-0.944681,-0.004489,0.368939,0.516997,-0.052341,-0.770623,0.007878,0.001036,-0.014504,0.490669,-0.483433,0.005928,0.678265,0.196856,-0.46626,-0.532735,0.007322,0.006653,-0.01235,0.453823,-1.318138,-0.012582,0.123171,0.207444,0.732624,0.636441,0.002881,-0.006937,-0.007201,0.453823,-1.318138,-0.012582,0.123171,0.207444,0.732624,0.636441,0.002969,-0.007193,0.011044,0.098073,-0.185083,-0.026114,0.061898,-0.228988,-0.21141,-0.948177,0.007322,0.006653,-0.01235,0,4
11184,-0.139411,-0.884276,-0.049754,0.565617,-0.428076,-0.545268,0.446667,0.006366,-0.001385,-0.011072,0.065942,-0.934214,0.010475,0.368839,0.516918,-0.05235,-0.770723,0.007182,0.006782,-0.012108,0.465937,-0.482278,0.009673,0.678284,0.196763,-0.466201,-0.532796,0.008411,0.010913,-0.009404,0.421143,-1.315538,-0.01422,0.123285,0.207499,0.732575,0.636459,0.003786,-0.008554,-0.006986,0.421143,-1.315538,-0.01422,0.123285,0.207499,0.732575,0.636459,0.007153,-0.007404,-0.002933,0.10512,-0.19674,-0.033437,0.061984,-0.228974,-0.211378,-0.948181,0.008411,0.010913,-0.009404,0,4
11185,-0.152242,-0.894647,-0.073807,0.565621,-0.428163,-0.545261,0.446586,0.005229,-0.004137,-0.01134,0.099142,-0.930024,0.014618,0.368731,0.516856,-0.052396,-0.770813,0.00496,0.002917,-0.014645,0.492822,-0.499488,0.013921,0.678295,0.196704,-0.466166,-0.532835,0.008671,0.005778,-0.006912,0.383575,-1.30198,-0.032764,0.123428,0.207583,0.732548,0.636434,-0.00195,-0.007391,-0.011792,0.383575,-1.30198,-0.032764,0.123428,0.207583,0.732548,0.636434,0.00095,0.004641,-0.006398,0.08878,-0.185319,-0.008101,0.062015,-0.228972,-0.211326,-0.948191,0.008671,0.005778,-0.006912,0,4
11186,-0.11111,-0.855584,-0.09492,0.56569,-0.428211,-0.545162,0.446574,0.001734,0.011968,-0.012415,0.066462,-0.937385,0.02442,0.368657,0.516751,-0.052439,-0.770915,0.001266,0.00793,-0.01206,0.491746,-0.47891,0.005927,0.678299,0.196614,-0.466138,-0.532887,0.006578,0.007087,-0.01022,0.384726,-1.287914,-0.036701,0.123621,0.207718,0.732533,0.63637,-0.006672,-0.006789,-0.020298,0.384726,-1.287914,-0.036701,0.123621,0.207718,0.732533,0.63637,-0.001422,0.001961,0.00021,0.095803,-0.196981,-0.015427,0.062056,-0.228967,-0.211244,-0.948208,0.006578,0.007087,-0.01022,0,4
11187,-0.018055,-0.696426,-0.034222,0.576489,-0.441416,-0.527446,0.44115,0.003189,0.015155,-0.012998,0.087379,-0.561685,0.025968,0.350977,0.505651,-0.083773,-0.783654,0.005702,0.003933,-0.012811,0.363276,-0.283315,0.046337,0.671485,0.188764,-0.478152,-0.53371,0.002961,0.00888,-0.010183,0.25592,-0.956931,0.005203,0.13867,0.21551,0.738337,0.623846,-0.007577,-0.005171,-0.02051,0.25592,-0.956931,0.005203,0.13867,0.21551,0.738337,0.623846,0.004745,0.001979,0.011002,0.130263,-0.357147,-0.039678,0.075123,-0.228558,-0.202946,-0.949174,0.002961,0.00888,-0.010183,0,4
11188,0.016767,-0.703179,-0.051112,0.576571,-0.441461,-0.527356,0.441105,0.005607,0.010397,-0.014727,0.106866,-0.589134,0.035252,0.350877,0.505591,-0.083832,-0.783731,0.003105,0.000899,-0.014046,0.366011,-0.285602,0.013981,0.671493,0.188655,-0.478131,-0.533758,0.00445,0.007717,-0.010915,0.254292,-0.961978,0.040794,0.138756,0.215551,0.738306,0.62385,0.001683,-0.006534,-0.003292,0.254292,-0.961978,0.040794,0.138756,0.215551,0.738306,0.62385,0.006219,-0.001068,0.017268,0.14714,-0.403045,-0.016385,0.075079,-0.228585,-0.20285,-0.949191,0.00445,0.007717,-0.010915,0,4
11189,0.007219,-0.728549,-0.033793,0.576636,-0.44153,-0.527286,0.441034,0.005635,0.00522,-0.016145,0.11077,-0.580371,0.007277,0.350827,0.505479,-0.083869,-0.783822,2.80E-05,0.008144,-0.009063,0.343981,-0.28601,0.037769,0.671512,0.188562,-0.478115,-0.533781,0.003586,0.006276,-0.007333,0.256769,-0.95803,0.005178,0.138792,0.215547,0.738254,0.623905,0.008326,-0.00713,0.004755,0.256769,-0.95803,0.005178,0.138792,0.215547,0.738254,0.623905,0.008094,-0.005325,0.01153,0.158964,-0.376272,0.012251,0.075014,-0.228608,-0.202766,-0.949209,0.003586,0.006276,-0.007333,0,4
11190,-0.018482,-0.729452,-0.037155,0.576729,-0.44156,-0.527184,0.441005,0.005434,0.013467,-0.013965,0.100019,-0.53365,0.034654,0.350799,0.505384,-0.083854,-0.783898,0.004243,0.007946,-0.003026,0.351509,-0.21738,0.085798,0.671556,0.188418,-0.478036,-0.533847,0.005465,0.017101,-0.01065,0.234058,-0.985569,0.00645,0.138725,0.215463,0.738237,0.623968,0.007692,-0.003655,0.020756,0.234058,-0.985569,0.00645,0.138725,0.215463,0.738237,0.623968,0.009291,-0.006499,0.014478,0.137901,-0.403895,0.001657,0.074931,-0.228606,-0.202703,-0.949229,0.005465,0.017101,-0.01065,0,4
11191,-0.009718,-0.739687,-0.036978,0.57681,-0.441553,-0.52711,0.440993,0.007806,0.013729,-0.008318,0.096209,-0.581285,0.035553,0.350726,0.505256,-0.083919,-0.784006,-0.001546,0.009196,-0.013813,0.300361,-0.268612,0.024095,0.671612,0.188219,-0.477922,-0.53395,0.005077,0.024931,-0.015325,0.271538,-0.999665,0.025384,0.138669,0.215373,0.738229,0.624021,0.005807,-0.004572,0.020336,0.271538,-0.999665,0.025384,0.138669,0.215373,0.738229,0.624021,0.010428,-0.004156,-0.006329,0.151401,-0.395936,-0.027069,0.074856,-0.228617,-0.202612,-0.949252,0.005077,0.024931,-0.015325,0,4
11192,-0.026252,-0.733019,-0.048926,0.576879,-0.441498,-0.527051,0.44103,0.008241,0.017023,-0.000486,0.076619,-0.591721,0.04552,0.350703,0.505138,-0.083926,-0.784091,0.000961,0.00977,-0.004489,0.323197,-0.319894,0.004984,0.671669,0.188029,-0.477827,-0.53403,0.003295,0.022353,-0.01332,0.296545,-1.020319,0.018662,0.138668,0.215334,0.738209,0.624059,0.00477,-0.005461,0.011236,0.296545,-1.020319,0.018662,0.138668,0.215334,0.738209,0.624059,0.014007,-0.008817,-0.011005,0.144939,-0.38628,-0.01953,0.074708,-0.22863,-0.202514,-0.949281,0.003295,0.022353,-0.01332,0,4
11193,0.165228,-0.443855,-0.10006,0.589054,-0.461369,-0.500467,0.43553,0.00745,0.014101,0.000585,0.038431,-0.419105,-0.002788,0.32911,0.498485,-0.108165,-0.79467,-0.00694,0.01738,-0.001767,0.006621,-0.085176,-0.063392,0.660956,0.182301,-0.495674,-0.533115,0.005518,0.016799,-0.00551,0.182248,-0.541681,0.031764,0.161451,0.226719,0.747249,0.603449,0.002193,-0.003807,0.0066,0.182248,-0.541681,0.031764,0.161451,0.226719,0.747249,0.603449,0.013063,-0.010772,-0.00882,0.147432,-0.474685,-0.057459,0.079517,-0.228266,-0.199437,-0.94963,0.005518,0.016799,-0.00551,0,4
11194,0.168518,-0.419697,-0.077128,0.589104,-0.461317,-0.500416,0.435577,0.007459,0.01523,0.001069,0.041564,-0.344121,0.01764,0.329114,0.498456,-0.108061,-0.7947,0.012882,0.002618,0.008104,0.070291,-0.043276,0.068861,0.660992,0.18226,-0.49574,-0.533023,-0.00464,-0.005273,0.004303,0.169902,-0.537093,0.036937,0.16151,0.226713,0.747231,0.603458,0.001017,-0.007321,0.003454,0.169902,-0.537093,0.036937,0.16151,0.226713,0.747231,0.603458,0.015542,-0.008638,0.003014,0.169169,-0.453426,-0.011317,0.079392,-0.228274,-0.199357,-0.949655,-0.00464,-0.005273,0.004303,0,4
11195,0.162611,-0.439576,-0.026731,0.58916,-0.461209,-0.50037,0.435667,0.009474,0.020575,0.007515,0.14137,-0.344268,0.07531,0.329083,0.498365,-0.108061,-0.79477,0.00312,0.006214,-0.00395,0.099817,0.064966,0.147766,0.661132,0.18206,-0.495619,-0.533029,-0.001639,0.028163,-0.002209,0.183719,-0.492834,0.034523,0.161588,0.226718,0.747197,0.603478,0.002732,-0.008845,0.001053,0.183719,-0.492834,0.034523,0.161588,0.226718,0.747197,0.603478,0.012854,-0.010969,0.001176,0.167334,-0.493997,0.012384,0.079275,-0.228305,-0.199254,-0.949679,-0.001639,0.028163,-0.002209,0,4
11196,0.139905,-0.419223,-0.059393,0.589163,-0.461104,-0.500358,0.435788,0.006308,0.016558,0.01406,0.072795,-0.382615,0.041385,0.329132,0.497992,-0.108067,-0.794983,-0.011476,0.04261,-0.005881,0.00151,-0.060469,-0.019793,0.661231,0.181831,-0.495461,-0.533132,0.005084,0.032545,-0.013406,0.128969,-0.477611,0.091007,0.161668,0.226703,0.747155,0.603513,0.004215,-0.011101,0.002638,0.128969,-0.477611,0.091007,0.161668,0.226703,0.747155,0.603513,0.015036,-0.009349,-0.004917,0.171653,-0.473427,-0.068951,0.0791,-0.228328,-0.199149,-0.94971,0.005084,0.032545,-0.013406,0,4
11197,0.121266,-0.413083,-0.050667,0.58914,-0.461001,-0.500383,0.435899,0.00719,0.011695,0.01672,0.034661,-0.459245,0.077428,0.329162,0.497901,-0.108096,-0.795024,-0.003684,0.004087,0.00129,0.013984,-0.123915,0.036164,0.661351,0.181655,-0.495364,-0.533133,-0.001231,0.023378,-0.002203,0.15332,-0.451189,0.088355,0.161749,0.226635,0.747115,0.603567,0.004725,-0.015459,0.007662,0.15332,-0.451189,0.088355,0.161749,0.226635,0.747115,0.603567,0.015307,-0.004403,-0.014816,0.186752,-0.472824,-0.001904,0.078954,-0.228356,-0.199027,-0.949741,-0.001231,0.023378,-0.002203,0,4
11198,0.109002,-0.419934,-0.021103,0.58915,-0.460864,-0.500394,0.436019,0.010055,0.016949,0.01691,0.07127,-0.388662,0.069499,0.329283,0.497748,-0.108028,-0.795078,-0.00213,0.015892,0.014479,0.030356,-0.116226,0.024455,0.661529,0.181487,-0.495215,-0.533108,4.60E-05,0.029874,0.005152,0.236741,-0.510364,0.097564,0.161858,0.226449,0.74709,0.603639,0.002281,-0.026697,0.017099,0.236741,-0.510364,0.097564,0.161858,0.226449,0.74709,0.603639,0.017818,0.00463,0.004245,0.171533,-0.486791,0.001748,0.078844,-0.228375,-0.198899,-0.949772,4.60E-05,0.029874,0.005152,0,4
11199,0.142088,-0.210681,-0.083359,0.591679,-0.472158,-0.486921,0.435765,0.013057,0.012175,0.021635,0.088775,-0.276501,0.044146,0.318847,0.493631,-0.12129,-0.799971,-0.01258,0.02324,0.006493,-0.089457,0.079379,0.043834,0.662674,0.184391,-0.501712,-0.524545,-0.007813,0.025319,0.008981,0.209639,-0.113684,0.065903,0.173263,0.227668,0.755566,0.589293,-0.000936,-0.039877,0.02009,0.209639,-0.113684,0.065903,0.173263,0.227668,0.755566,0.589293,0.020792,0.005477,0.023473,0.161652,-0.389589,0.019923,0.070816,-0.230962,-0.203113,-0.948887,-0.007813,0.025319,0.008981,0,4
11200,0.125461,-0.183815,-0.104883,0.591663,-0.471989,-0.487006,0.435874,0.01593,0.011397,0.02322,0.077014,-0.262429,0.062147,0.318981,0.493424,-0.121249,-0.800052,-0.006953,0.021845,0.012253,-0.098785,0.063525,0.084825,0.662887,0.18418,-0.501577,-0.52448,-0.007693,0.032731,0.007598,0.194412,-0.126612,0.063592,0.173567,0.227387,0.755521,0.58937,-0.003505,-0.051176,0.011785,0.194412,-0.126612,0.063592,0.173567,0.227387,0.755521,0.58937,0.01703,0.017889,0.033747,0.19606,-0.322409,-0.012038,0.07082,-0.23101,-0.202931,-0.948914,-0.007693,0.032731,0.007598,0,4
11201,0.120598,-0.184052,-0.063708,0.591659,-0.471748,-0.487077,0.436062,0.016303,0.021137,0.031661,0.097683,-0.256548,0.065959,0.319174,0.493139,-0.121146,-0.800166,-0.006991,0.03457,0.01926,-0.099916,0.047854,0.073174,0.663139,0.183955,-0.50138,-0.524428,-0.005065,0.041289,0.009479,0.122108,-0.155509,0.074757,0.174019,0.227102,0.75546,0.589426,-0.00836,-0.06463,0.000972,0.122108,-0.155509,0.074757,0.174019,0.227102,0.75546,0.589426,0.014202,0.034542,0.035768,0.13959,-0.390547,0.031379,0.07084,-0.231075,-0.202689,-0.948949,-0.005065,0.041289,0.009479,0,4
11202,0.147515,-0.182399,-0.08164,0.591612,-0.471498,-0.48721,0.436247,0.01798,0.014609,0.037787,0.126131,-0.266684,0.051687,0.319419,0.492817,-0.121026,-0.800284,-0.009807,0.039716,0.024525,-0.068493,0.026156,0.047728,0.663397,0.183775,-0.50118,-0.524356,-0.002524,0.03854,0.014232,0.030328,-0.183602,0.07834,0.174436,0.226689,0.755467,0.589452,-0.017606,-0.068334,0.016143,0.030328,-0.183602,0.07834,0.174436,0.226689,0.755467,0.589452,0.005041,0.041936,0.012846,0.194528,-0.358016,-0.023415,0.07092,-0.231153,-0.202393,-0.948987,-0.002524,0.03854,0.014232,0,4
11203,0.153319,-0.158081,-0.05938,0.591524,-0.471263,-0.487408,0.436398,0.019941,0.00484,0.040184,0.081813,-0.25707,0.047888,0.319664,0.492496,-0.120907,-0.800403,-0.009795,0.039721,0.024528,-0.074093,0.050408,0.070396,0.66374,0.183578,-0.500904,-0.524255,-0.002742,0.050078,0.022561,0.058277,-0.060584,0.077312,0.174833,0.226147,0.755495,0.589507,-0.018617,-0.075888,0.03048,0.058277,-0.060584,0.077312,0.174833,0.226147,0.755495,0.589507,0.013809,0.038685,0.027734,0.156202,-0.344099,-0.021781,0.070951,-0.231214,-0.20212,-0.949028,-0.002742,0.050078,0.022561,0,4
11204,0.12001,-0.141205,0.010594,0.59151,-0.470953,-0.487561,0.436581,0.025224,0.018193,0.040491,0.111589,-0.265117,0.079861,0.319909,0.492169,-0.120801,-0.800522,-0.011212,0.039671,0.023526,-0.052266,0.054229,0.026619,0.664071,0.183384,-0.500643,-0.524154,-0.003272,0.048111,0.021616,0.08349,-0.03469,0.074176,0.175326,0.225523,0.755522,0.589564,-0.022656,-0.090526,0.031072,0.08349,-0.03469,0.074176,0.175326,0.225523,0.755522,0.589564,0.023341,0.039026,0.036668,0.147072,-0.373684,0.009933,0.071074,-0.231261,-0.201815,-0.949072,-0.003272,0.048111,0.021616,0,4
11205,0.172279,0.034758,0.00579,0.589777,-0.475685,-0.483463,0.43835,0.029122,0.036635,0.032355,0.114972,-0.208184,0.158789,0.314355,0.489098,-0.128868,-0.803341,-0.012471,0.044882,0.021756,-0.103109,0.08128,0.099243,0.667103,0.186418,-0.501605,-0.518281,-0.008459,0.053836,0.030896,-0.011388,0.188489,-0.001031,0.178858,0.221948,0.761055,0.582705,-0.015462,-0.103194,0.027796,-0.011388,0.188489,-0.001031,0.178858,0.221948,0.761055,0.582705,0.017487,0.047351,0.036366,0.214114,-0.261898,-0.030196,0.06537,-0.232405,-0.205461,-0.94842,-0.008459,0.053836,0.030896,0,4
11206,0.265364,0.029053,0.193241,0.590021,-0.475289,-0.483355,0.438571,0.030314,0.058597,0.019466,0.103494,-0.216655,0.18707,0.314688,0.488574,-0.128578,-0.803576,-0.003825,0.073925,0.03538,-0.083167,0.113246,0.233831,0.667589,0.186084,-0.50122,-0.518147,-0.012485,0.075306,0.028191,-0.04555,0.191954,-0.011448,0.179495,0.221463,0.761019,0.58274,-0.021176,-0.094391,0.006881,-0.04555,0.191954,-0.011448,0.179495,0.221463,0.761019,0.58274,0.026913,0.038944,0.037208,0.119317,-0.213432,-0.001354,0.065486,-0.232433,-0.205122,-0.948478,-0.012485,0.075306,0.028191,0,4
11207,0.319329,-0.00536,0.156617,0.590309,-0.474816,-0.483237,0.438825,0.035865,0.06783,0.023359,0.073086,-0.182527,0.023696,0.3151,0.48792,-0.128211,-0.803871,-0.005128,0.094109,0.043215,-0.082851,0.078454,0.043628,0.668167,0.185713,-0.500647,-0.518089,-0.001236,0.099841,0.029675,-0.015402,0.155518,0.105578,0.179946,0.220897,0.760959,0.582894,-0.005571,-0.086607,0.029346,-0.015402,0.155518,0.105578,0.179946,0.220897,0.760959,0.582894,0.033794,0.039057,0.048213,0.200011,-0.205261,-0.029183,0.065521,-0.232473,-0.204829,-0.94853,-0.001236,0.099841,0.029675,0,4
11208,0.219385,-0.029609,-0.03162,0.590528,-0.474387,-0.483238,0.438993,0.040109,0.048153,0.025261,0.059883,-0.176947,-0.022694,0.315472,0.487326,-0.128009,-0.804117,-0.017035,0.078684,0.032374,-0.148527,0.109701,-0.032827,0.668635,0.185437,-0.500154,-0.518061,0.005665,0.08163,0.024345,-0.064933,0.121973,0.005027,0.180286,0.2203,0.760851,0.583156,0.010027,-0.082556,0.040881,-0.064933,0.121973,0.005027,0.180286,0.2203,0.760851,0.583156,0.036525,0.025385,0.067674,0.151952,-0.189693,-0.009544,0.065527,-0.232494,-0.204638,-0.948565,0.005665,0.08163,0.024345,0,4
11209,0.195791,-0.027791,-0.054974,0.590699,-0.474078,-0.483251,0.439083,0.033964,0.033716,0.015878,0.062426,-0.231787,0.040431,0.31585,0.48677,-0.127777,-0.804343,-0.01356,0.075031,0.036184,-0.115467,0.087511,0.056111,0.669087,0.185191,-0.499687,-0.518014,0.005702,0.076221,0.026223,-0.136658,0.089011,-0.067789,0.180327,0.219588,0.760804,0.583473,0.016159,-0.063594,0.07511,-0.136658,0.089011,-0.067789,0.180327,0.219588,0.760804,0.583473,0.025854,0.021472,0.062431,0.165623,-0.211961,-0.024509,0.065553,-0.232508,-0.204538,-0.948582,0.005702,0.076221,0.026223,0,4
11210,0.211197,0.002911,-0.042373,0.590948,-0.473701,-0.483184,0.439227,0.035903,0.05063,0.015094,0.042259,-0.209108,-0.048384,0.316346,0.486039,-0.127371,-0.804654,-0.008866,0.105274,0.051682,-0.136726,0.086575,0.005244,0.669605,0.184931,-0.499061,-0.518042,0.017477,0.095551,0.026864,-0.013815,0.182384,-0.057377,0.180353,0.218995,0.76075,0.583758,0.016598,-0.052962,0.064467,-0.013815,0.182384,-0.057377,0.180353,0.218995,0.76075,0.583758,0.022655,0.006509,0.047045,0.172669,-0.223531,-0.032004,0.065529,-0.232517,-0.204448,-0.9486,0.017477,0.095551,0.026864,0,4
11211,0.345795,0.019454,0.035187,0.589218,-0.475231,-0.482252,0.44092,0.045011,0.128624,0.010969,0.010223,-0.120422,-0.087253,0.312838,0.483446,-0.132205,-0.806805,0.006172,0.098964,0.05219,-0.191795,0.138288,-0.08182,0.672819,0.186917,-0.497748,-0.514417,0.01908,0.107972,0.024196,-0.018983,0.257631,-0.112703,0.180586,0.215682,0.763309,0.581575,0.018601,-0.040877,0.059013,-0.018983,0.257631,-0.112703,0.180586,0.215682,0.763309,0.581575,0.019256,-0.004065,0.003262,0.153132,-0.185279,-0.005536,0.063223,-0.232287,-0.206965,-0.948267,0.01908,0.107972,0.024196,0,4
